filename,label,class,num_channels,sample_rate,bit_depth,avg_rms,length_in_seconds,length_in_frames
data\Parsed_Capuchinbird_Clips\XC178167-1.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.03448822,3.5,168000
data\Parsed_Capuchinbird_Clips\XC178167-2.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.029076612,3.5,168000
data\Parsed_Capuchinbird_Clips\XC178167-3.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.0192189,3.5,168000
data\Parsed_Capuchinbird_Clips\XC178168-0.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.038121562,3.0,144000
data\Parsed_Capuchinbird_Clips\XC178168-1.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.03470216,3.0,144000
data\Parsed_Capuchinbird_Clips\XC178168-2.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.039713055,3.5,168000
data\Parsed_Capuchinbird_Clips\XC178168-3.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.03327926,3.5,168000
data\Parsed_Capuchinbird_Clips\XC178168-4.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.03929628,4.0,192000
data\Parsed_Capuchinbird_Clips\XC178168-5.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.031209765,4.0,192000
data\Parsed_Capuchinbird_Clips\XC178168-6.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.018411921,3.0,144000
data\Parsed_Capuchinbird_Clips\XC178168-7.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.032422528,3.5,168000
data\Parsed_Capuchinbird_Clips\XC201990-0.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.14049731,4.0,192000
data\Parsed_Capuchinbird_Clips\XC201990-1.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.12765482,3.5,168000
data\Parsed_Capuchinbird_Clips\XC201990-2.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.16892639,4.0,192000
data\Parsed_Capuchinbird_Clips\XC201990-3.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.023016764,2.0,96000
data\Parsed_Capuchinbird_Clips\XC201990-4.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.063889086,2.5,120000
data\Parsed_Capuchinbird_Clips\XC201990-5.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.24247271,3.0,144000
data\Parsed_Capuchinbird_Clips\XC216010-0.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.06346155,2.5,120000
data\Parsed_Capuchinbird_Clips\XC216010-1.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.07125377,3.5,168000
data\Parsed_Capuchinbird_Clips\XC216010-2.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.06816464,3.5,168000
data\Parsed_Capuchinbird_Clips\XC216010-3.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.08199837,3.5,168000
data\Parsed_Capuchinbird_Clips\XC216010-4.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.13053878,3.5,168000
data\Parsed_Capuchinbird_Clips\XC216010-5.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.0982187,3.0,144000
data\Parsed_Capuchinbird_Clips\XC216010-6.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.09980491,3.0,144000
data\Parsed_Capuchinbird_Clips\XC216010-7.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.11332013,4.0,192000
data\Parsed_Capuchinbird_Clips\XC216012-0.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.115513586,4.0,192000
data\Parsed_Capuchinbird_Clips\XC216012-1.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.12553555,3.0,144000
data\Parsed_Capuchinbird_Clips\XC216012-10.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.12299909,4.0,192000
data\Parsed_Capuchinbird_Clips\XC216012-11.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.11047028,3.0,144000
data\Parsed_Capuchinbird_Clips\XC216012-12.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.15894671,3.0,144000
data\Parsed_Capuchinbird_Clips\XC216012-13.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.1306615,2.5,120000
data\Parsed_Capuchinbird_Clips\XC216012-14.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.16379423,3.0,144000
data\Parsed_Capuchinbird_Clips\XC216012-15.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.1409568,3.0,144000
data\Parsed_Capuchinbird_Clips\XC216012-16.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.10969339,3.5,168000
data\Parsed_Capuchinbird_Clips\XC216012-17.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.12557654,3.5,168000
data\Parsed_Capuchinbird_Clips\XC216012-18.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.10794805,3.0,144000
data\Parsed_Capuchinbird_Clips\XC216012-19.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.15132265,2.5,120000
data\Parsed_Capuchinbird_Clips\XC216012-2.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.17019293,3.5,168000
data\Parsed_Capuchinbird_Clips\XC216012-20.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.1141985,3.0,144000
data\Parsed_Capuchinbird_Clips\XC216012-3.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.2509499,2.5,120000
data\Parsed_Capuchinbird_Clips\XC216012-4.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.17044339,3.5,168000
data\Parsed_Capuchinbird_Clips\XC216012-5.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.10821176,3.0,144000
data\Parsed_Capuchinbird_Clips\XC216012-6.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.11173224,3.0,144000
data\Parsed_Capuchinbird_Clips\XC216012-7.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.10376735,3.5,168000
data\Parsed_Capuchinbird_Clips\XC216012-8.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.14548714,3.0,144000
data\Parsed_Capuchinbird_Clips\XC216012-9.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.14819093,4.0,192000
data\Parsed_Capuchinbird_Clips\XC22397-0.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,48000,16,0.077304006,4.0,192000
data\Parsed_Capuchinbird_Clips\XC22397-1.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,48000,16,0.099887475,2.5,120000
data\Parsed_Capuchinbird_Clips\XC22397-2.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,48000,16,0.06750496,2.5,120000
data\Parsed_Capuchinbird_Clips\XC22397-3.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,48000,16,0.076125264,4.5,216000
data\Parsed_Capuchinbird_Clips\XC22397-4.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,48000,16,0.05791987,3.5,168000
data\Parsed_Capuchinbird_Clips\XC22397-5.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,48000,16,0.0701492,3.5,168000
data\Parsed_Capuchinbird_Clips\XC22397-6.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,48000,16,0.08793577,3.5,168000
data\Parsed_Capuchinbird_Clips\XC22397-7.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,48000,16,0.06307415,4.0,192000
data\Parsed_Capuchinbird_Clips\XC227468-0.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.046506237,3.5,154350
data\Parsed_Capuchinbird_Clips\XC227468-1.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.04820811,4.0,176400
data\Parsed_Capuchinbird_Clips\XC227468-2.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.04707374,4.0,176400
data\Parsed_Capuchinbird_Clips\XC227468-3.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.049065206,3.5,154350
data\Parsed_Capuchinbird_Clips\XC227468-4.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.04748095,3.5,154350
data\Parsed_Capuchinbird_Clips\XC227468-5.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.05890238,3.5,154350
data\Parsed_Capuchinbird_Clips\XC227469-0.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.067297,3.0,132300
data\Parsed_Capuchinbird_Clips\XC227469-1.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.065236576,3.0,132300
data\Parsed_Capuchinbird_Clips\XC227469-2.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.06666537,3.0,132300
data\Parsed_Capuchinbird_Clips\XC227469-3.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.07284268,3.5,154350
data\Parsed_Capuchinbird_Clips\XC227469-4.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.069854386,3.5,154350
data\Parsed_Capuchinbird_Clips\XC227471-0.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.08802545,3.5,154350
data\Parsed_Capuchinbird_Clips\XC227471-1.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.0984177,3.0,132300
data\Parsed_Capuchinbird_Clips\XC227471-2.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.10134361,3.5,154350
data\Parsed_Capuchinbird_Clips\XC227471-3.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.09712773,3.5,154350
data\Parsed_Capuchinbird_Clips\XC227471-4.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.09341582,3.5,154350
data\Parsed_Capuchinbird_Clips\XC227471-5.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.0892952,3.0,132300
data\Parsed_Capuchinbird_Clips\XC227471-6.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.10132192,3.5,154350
data\Parsed_Capuchinbird_Clips\XC227471-7.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.09696729,2.5,110250
data\Parsed_Capuchinbird_Clips\XC27881-0.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.13369676,4.0,176400
data\Parsed_Capuchinbird_Clips\XC27881-1.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.1674429,3.5,154350
data\Parsed_Capuchinbird_Clips\XC27881-2.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.12713557,3.5,154350
data\Parsed_Capuchinbird_Clips\XC27881-3.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.13727959,2.5,110250
data\Parsed_Capuchinbird_Clips\XC27882-0.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.07942685,4.0,176400
data\Parsed_Capuchinbird_Clips\XC27882-1.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.09973135,3.5,154350
data\Parsed_Capuchinbird_Clips\XC27882-2.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.030129787,4.0,176400
data\Parsed_Capuchinbird_Clips\XC27882-3.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.032349456,3.0,132300
data\Parsed_Capuchinbird_Clips\XC27882-4.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.031111239,4.0,176400
data\Parsed_Capuchinbird_Clips\XC27882-5.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.050353304,3.5,154350
data\Parsed_Capuchinbird_Clips\XC27882-6.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.016183913,3.0,132300
data\Parsed_Capuchinbird_Clips\XC307385-0.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,48000,16,0.21900395,3.0,144000
data\Parsed_Capuchinbird_Clips\XC307385-1.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,48000,16,0.13652514,3.0,144000
data\Parsed_Capuchinbird_Clips\XC307385-2.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,48000,16,0.17160614,4.0,192000
data\Parsed_Capuchinbird_Clips\XC307385-3.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,48000,16,0.11820566,4.0,192000
data\Parsed_Capuchinbird_Clips\XC307385-4.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,48000,16,0.12204269,4.0,192000
data\Parsed_Capuchinbird_Clips\XC3776-0.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.21452084,3.0,132300
data\Parsed_Capuchinbird_Clips\XC3776-1.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.21206276,3.0,132300
data\Parsed_Capuchinbird_Clips\XC3776-2.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.21208858,3.5,154350
data\Parsed_Capuchinbird_Clips\XC3776-3.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.22295159,3.0,132300
data\Parsed_Capuchinbird_Clips\XC3776-4.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.14190736,4.0,176400
data\Parsed_Capuchinbird_Clips\XC3776-5.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.16267343,3.0,132300
data\Parsed_Capuchinbird_Clips\XC3776-6.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.16469297,4.0,176400
data\Parsed_Capuchinbird_Clips\XC387509-0.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,44100,16,0.014960991,3.5,154350
data\Parsed_Capuchinbird_Clips\XC387509-1.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,44100,16,0.014033014,3.5,154350
data\Parsed_Capuchinbird_Clips\XC387509-2.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,44100,16,0.021261128,3.5,154350
data\Parsed_Capuchinbird_Clips\XC387509-3.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,44100,16,0.02544825,3.0,132300
data\Parsed_Capuchinbird_Clips\XC387509-4.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,44100,16,0.019741686,3.5,154350
data\Parsed_Capuchinbird_Clips\XC387509-5.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,44100,16,0.017313106,3.5,154350
data\Parsed_Capuchinbird_Clips\XC388470-0.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,48000,16,0.046063572,2.5,120000
data\Parsed_Capuchinbird_Clips\XC388470-1.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,48000,16,0.060971186,3.0,144000
data\Parsed_Capuchinbird_Clips\XC388470-2.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,48000,16,0.045439396,3.0,144000
data\Parsed_Capuchinbird_Clips\XC388470-3.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,48000,16,0.049275585,2.0,96000
data\Parsed_Capuchinbird_Clips\XC388470-4.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,48000,16,0.05023415,3.0,144000
data\Parsed_Capuchinbird_Clips\XC388470-5.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,48000,16,0.0460434,2.5,120000
data\Parsed_Capuchinbird_Clips\XC388470-6.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,48000,16,0.039401036,4.0,192000
data\Parsed_Capuchinbird_Clips\XC395129-0.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,44100,16,0.13194837,3.5,154350
data\Parsed_Capuchinbird_Clips\XC395129-1.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,44100,16,0.11454465,2.0,88200
data\Parsed_Capuchinbird_Clips\XC395129-2.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,44100,16,0.16457759,2.5,110250
data\Parsed_Capuchinbird_Clips\XC395129-3.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,44100,16,0.15869963,2.5,110250
data\Parsed_Capuchinbird_Clips\XC395129-4.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,44100,16,0.11222275,3.0,132300
data\Parsed_Capuchinbird_Clips\XC395129-5.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,44100,16,0.13974464,3.0,132300
data\Parsed_Capuchinbird_Clips\XC395129-6.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,44100,16,0.09904417,3.0,132300
data\Parsed_Capuchinbird_Clips\XC401294-0.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,44100,16,0.013633596,4.0,176400
data\Parsed_Capuchinbird_Clips\XC40355-0.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.13716942,3.5,154350
data\Parsed_Capuchinbird_Clips\XC433953-0.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,11025,16,0.05010891,3.499954648526077,38587
data\Parsed_Capuchinbird_Clips\XC433953-1.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,11025,16,0.07949352,3.0,33075
data\Parsed_Capuchinbird_Clips\XC433953-10.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,11025,16,0.21794786,3.499954648526077,38587
data\Parsed_Capuchinbird_Clips\XC433953-2.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,11025,16,0.08969862,3.0,33075
data\Parsed_Capuchinbird_Clips\XC433953-3.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,11025,16,0.07096287,3.0,33075
data\Parsed_Capuchinbird_Clips\XC433953-4.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,11025,16,0.04057024,4.0,44100
data\Parsed_Capuchinbird_Clips\XC433953-5.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,11025,16,0.18219006,3.499954648526077,38587
data\Parsed_Capuchinbird_Clips\XC433953-6.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,11025,16,0.13645542,3.0,33075
data\Parsed_Capuchinbird_Clips\XC433953-7.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,11025,16,0.098900236,2.500045351473923,27563
data\Parsed_Capuchinbird_Clips\XC433953-8.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,11025,16,0.15720113,2.0,22050
data\Parsed_Capuchinbird_Clips\XC433953-9.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,11025,16,0.13028848,2.499954648526077,27562
data\Parsed_Capuchinbird_Clips\XC44070-0.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,44100,16,0.017619962,3.0,132300
data\Parsed_Capuchinbird_Clips\XC44070-1.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,44100,16,0.013734146,3.5,154350
data\Parsed_Capuchinbird_Clips\XC44070-2.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,44100,16,0.016742555,3.5,154350
data\Parsed_Capuchinbird_Clips\XC456236-0.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,48000,16,0.09686044,3.5,168000
data\Parsed_Capuchinbird_Clips\XC456236-1.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,48000,16,0.102461375,3.5,168000
data\Parsed_Capuchinbird_Clips\XC456236-2.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,48000,16,0.101770855,4.0,192000
data\Parsed_Capuchinbird_Clips\XC456236-3.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,48000,16,0.15627465,3.0,144000
data\Parsed_Capuchinbird_Clips\XC456236-4.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,48000,16,0.08452691,3.5,168000
data\Parsed_Capuchinbird_Clips\XC456314-0.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,48000,16,0.15176141,3.5,168000
data\Parsed_Capuchinbird_Clips\XC46077-0.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,44100,16,0.013527849,3.0,132300
data\Parsed_Capuchinbird_Clips\XC46077-1.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,44100,16,0.015037222,4.5,198450
data\Parsed_Capuchinbird_Clips\XC46077-2.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,44100,16,0.016892137,4.0,176400
data\Parsed_Capuchinbird_Clips\XC46241-0.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,44100,16,0.016302917,3.5,154350
data\Parsed_Capuchinbird_Clips\XC46241-1.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,44100,16,0.015259463,3.5,154350
data\Parsed_Capuchinbird_Clips\XC46241-2.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,44100,16,0.013423572,3.5,154350
data\Parsed_Capuchinbird_Clips\XC46241-3.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,44100,16,0.012556022,4.5,198450
data\Parsed_Capuchinbird_Clips\XC46241-4.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,44100,16,0.013687017,3.5,154350
data\Parsed_Capuchinbird_Clips\XC46241-5.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,44100,16,0.011995512,4.0,176400
data\Parsed_Capuchinbird_Clips\XC479556-0.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,44100,16,0.03544879,4.0,176400
data\Parsed_Capuchinbird_Clips\XC495697-0.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.034632925,3.0,132300
data\Parsed_Capuchinbird_Clips\XC495697-1.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.026612686,2.5,110250
data\Parsed_Capuchinbird_Clips\XC495697-2.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.038320396,3.5,154350
data\Parsed_Capuchinbird_Clips\XC495697-3.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.028250854,3.5,154350
data\Parsed_Capuchinbird_Clips\XC495697-4.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.031469177,3.0,132300
data\Parsed_Capuchinbird_Clips\XC513083-0.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,48000,16,0.03752219,3.0,144000
data\Parsed_Capuchinbird_Clips\XC513083-1.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,48000,16,0.045685757,4.0,192000
